location,ds,yhat,yhat_lower,yhat_upper
India,2020-10-29,60564.292546001154,22565.14000819532,100630.06351024185
India,2020-10-30,60006.21206078931,18726.027633966314,100559.0172213873
India,2020-10-31,59462.39406491879,18795.01574525525,97090.5310061124
India,2020-11-01,59008.93978541957,17416.407596933223,98602.7041102273
India,2020-11-02,58446.91313904099,18721.661437727988,94698.76629407362
India,2020-11-03,57947.12970945311,15894.696216513541,96910.92889737825
India,2020-11-04,57425.54445155107,14604.123809304638,100519.78185654615
India,2020-11-05,56880.10794414763,16109.932876026298,96218.84084185369
India,2020-11-06,56363.4020229613,17852.286692058828,96067.24589813336
India,2020-11-07,55845.50634233918,17795.469642662414,97901.53246155675
India,2020-11-08,55404.09246909256,14795.856114752694,95248.5643675495
India,2020-11-09,54842.28701664849,18098.731533781458,94049.18114451827
India,2020-11-10,54333.38001355285,12934.428413180243,96500.3772360055
India,2020-11-11,53796.11271426106,12787.485335783676,92466.65577446406
India,2020-11-12,53231.417528794496,10997.790208583467,95489.88422844923
India,2020-11-13,52694.92444981673,10609.120448592319,91096.82538492815
India,2020-11-14,52159.6896676141,12719.879680849765,93729.30404049001
India,2020-11-15,51706.14759608701,11501.929531979544,91231.15497984493
India,2020-11-16,51139.832777563606,11641.219107612953,90413.08844091448
India,2020-11-17,50635.95300729349,10668.791949113136,89716.02872171975
India,2020-11-18,50114.55305530667,9642.202450973087,91699.8715167667
India,2020-11-19,49577.1466852289,8165.845511729024,88809.89606918677
India,2020-11-20,49079.13605378711,9700.382562926285,88583.45058668919
India,2020-11-21,48592.478402565255,8636.3371526468,89755.02681755167
India,2020-11-22,48195.604845802874,9395.109682954406,88280.72672475959
India,2020-11-23,47691.14052100353,7379.935462036,87282.39369792464
India,2020-11-24,47250.50933113699,7596.346363675591,85308.77763080821
India,2020-11-25,46789.163591573146,7505.134097775023,85620.71178214128
India,2020-11-26,46303.31602911454,6718.514250920704,85132.7963018902
India,2020-11-27,45842.4920156724,6571.657272426187,86328.84239084164
India,2020-11-28,45372.359516506294,4070.8239122792047,84976.28623389636
India,2020-11-29,44964.838089584606,4276.180028657538,89374.63230909
India,2020-11-30,44416.03170830835,3062.442283748612,85105.56291238123
India,2020-12-01,43891.06322693948,5631.928386796427,84484.9605083973
India,2020-12-02,43299.54455021751,1029.4448140654808,81753.87330033812
India,2020-12-03,42632.553183168835,4099.478269917611,80428.14532330334
India,2020-12-04,41935.42565681805,1741.1033853708823,83910.8633800262
India,2020-12-05,41170.81778482543,2914.2301993143637,83347.68131180968
India,2020-12-06,40409.025473985814,1809.7702389870412,80400.42553005966
India,2020-12-07,39446.10343730723,-1752.9222559408333,79561.55313231968
India,2020-12-08,38448.85261365016,247.54256870175084,79506.33712659166
India,2020-12-09,37330.40396938501,-1973.116227497137,79360.01050560895
India,2020-12-10,36087.26381168163,-3492.8986614471,73516.88931520484
India,2020-12-11,34772.12659527246,-4277.41567305953,74011.83906926031
India,2020-12-12,33356.90186536804,-8534.848515852786,72271.48815673651
India,2020-12-13,31922.947089289748,-9229.90018686424,75545.77446989945
India,2020-12-14,30279.04320303077,-10096.830031460273,67089.49822066438
India,2020-12-15,28606.184670801773,-9842.811381130425,69285.31823439042
India,2020-12-16,26832.91427104521,-8275.739315343364,65306.47882984889
India,2020-12-17,24972.07180557932,-12419.122230590372,62595.131385501474
India,2020-12-18,23093.268251182442,-15434.14147035971,62617.23325971067
India,2020-12-19,21185.538903417415,-16133.32285519704,58030.56304940068
India,2020-12-20,19347.175399275697,-22252.85395042474,59503.00074450747
India,2020-12-21,17403.282626087563,-21279.432794292265,55592.41316732535
India,2020-12-22,15550.142328477985,-23234.428054684922,57041.71689907959
India,2020-12-23,13730.124230584774,-25250.64095436611,54469.29367864667
India,2020-12-24,11968.024797544742,-32497.59976397036,53516.40134809795
India,2020-12-25,10343.156125486741,-28226.16230703719,53380.31459219622
India,2020-12-26,8851.649231339568,-29724.807864347058,48776.76068657097
India,2020-12-27,7595.981811502999,-31323.612562664126,50773.09190327631
India,2020-12-28,6402.285836050218,-31653.80864264615,47149.413426002866
India,2020-12-29,5464.525057419345,-36882.42184213127,45868.007699019996
India,2020-12-30,4719.290179291373,-37268.027991953844,45155.49339559761
India,2020-12-31,4182.097183428599,-35692.172346491745,44354.98652654211
India,2021-01-01,3919.5149419356057,-34316.59037178752,44324.63034477453
India,2021-01-02,3911.5881506619517,-35951.74294577297,43775.38084381703
India,2021-01-03,4241.565451097609,-32565.59183425419,46684.74862088917
India,2021-01-04,4713.485896882194,-34605.87233534824,43607.72774629734
India,2021-01-05,5496.709633675771,-34242.322260798144,44078.81242465371
India,2021-01-06,6501.134389289189,-33900.0063503879,45707.27987975155
India,2021-01-07,7713.975297852403,-31135.01058005273,48512.25133501199
India,2021-01-08,9172.42454809562,-28741.821636877692,47458.9407384714
India,2021-01-09,10826.645799479018,-29288.150445852785,49714.158170210416
India,2021-01-10,12730.100936304334,-27393.10785478933,54916.43510156466
India,2021-01-11,14657.74909813542,-25049.518373899176,52691.29552706838
India,2021-01-12,16751.19002976256,-23365.602580655777,56871.75605622053
India,2021-01-13,18894.47924842266,-22238.85473409361,59120.35929829925
India,2021-01-14,21051.478523582442,-20719.8378643733,61781.43986790399
India,2021-01-15,23239.044551150808,-19294.194675689036,60687.51160949789
India,2021-01-16,25390.50038167319,-14915.13746485168,65679.00999663534
India,2021-01-17,27546.363108211466,-11794.413219958433,68511.48196405401
India,2021-01-18,29472.88200843207,-8675.264705883079,70205.88503350131
India,2021-01-19,31307.425872251333,-12223.821972674039,73159.51583365083
India,2021-01-20,32934.452527208894,-8673.295696966334,74036.00645774852
India,2021-01-21,34322.9168891869,-5961.233360125345,74422.27038132848
India,2021-01-22,35499.41793928032,-7395.5914326889115,72242.86743624674
India,2021-01-23,36411.52655185854,-2572.393513836087,75013.6068839999
India,2021-01-24,37118.282147705184,-1282.0607690710074,75221.47438701481
India,2021-01-25,37408.3922090219,1211.0045282256256,77335.6319289084
India,2021-01-26,37445.20467330104,-2220.0380228415684,76710.33660507825
India,2021-01-27,37142.18263962658,-6572.754495203699,73296.93367356941
India,2021-01-28,36499.750769385486,-2032.9639534839334,76149.42757744677
India,2021-01-29,35577.82599076119,-610.31858595498,77503.22747495657
India,2021-01-30,34358.48796752418,-7124.511390427709,71401.844986399
India,2021-01-31,32935.791846926775,-9174.542147359314,72316.12640384985
